org_id,platform,followers_before,followers_now,delta,growth_pct,window_days
moleg,instagram,99154,105572,6418,6.47,30
moleg,youtube,154390,161627,7237,4.69,30
molit,blog,9990,10086,96,0.96,30
molit,facebook,176189,173711,-2478,-1.41,30
molit,instagram,165469,175097,9628,5.82,30
molit,x,46687,51392,4705,10.08,30
molit,youtube,61721,62963,1242,2.01,30
motie,blog,36324,38473,2149,5.92,30
motie,facebook,132079,129821,-2258,-1.71,30
motie,instagram,154232,158016,3784,2.45,30
motie,x,26057,27358,1301,4.99,30
motie,youtube,23256,24555,1299,5.59,30
mpm,blog,26167,25948,-219,-0.84,30
mpm,facebook,38975,41354,2379,6.1,30
mpm,instagram,89523,98092,8569,9.57,30
mpm,youtube,84424,91197,6773,8.02,30
mpva,blog,46430,50572,4142,8.92,30
mpva,facebook,92745,92561,-184,-0.2,30
mpva,instagram,195942,204578,8636,4.41,30
mpva,youtube,44467,44134,-333,-0.75,30
msit,blog,151366,159204,7838,5.18,30
msit,facebook,30743,31398,655,2.13,30
msit,instagram,126298,130538,4240,3.36,30
msit,x,176489,177733,1244,0.7,30
msit,youtube,34855,38237,3382,9.7,30
mss,blog,149473,148967,-506,-0.34,30
mss,facebook,108448,116728,8280,7.63,30
mss,instagram,25253,26985,1732,6.86,30
mss,x,154002,164349,10347,6.72,30
mss,youtube,82091,89726,7635,9.3,30
nfa,blog,63393,67643,4250,6.7,30
nfa,facebook,128376,137577,9201,7.17,30
nfa,instagram,57155,61466,4311,7.54,30
nfa,youtube,200002,208023,8021,4.01,30
nssc,blog,187806,205638,17832,9.49,30
nssc,facebook,124848,136222,11374,9.11,30
nssc,instagram,94341,103127,8786,9.31,30
nssc,youtube,74029,77971,3942,5.32,30
nts,blog,177179,194641,17462,9.86,30
nts,facebook,30846,32339,1493,4.84,30
nts,instagram,147255,161373,14118,9.59,30
nts,youtube,63937,66194,2257,3.53,30
oka,facebook,174171,179879,5708,3.28,30
oka,instagram,106922,109474,2552,2.39,30
oka,youtube,4455,4520,65,1.46,30
opm,blog,183656,189508,5852,3.19,30
opm,facebook,15268,16509,1241,8.13,30
opm,instagram,160763,159606,-1157,-0.72,30
opm,youtube,78915,82092,3177,4.03,30
pipc,blog,185393,187457,2064,1.11,30
pipc,facebook,57074,60596,3522,6.17,30
pipc,instagram,152938,161657,8719,5.7,30
pipc,youtube,143179,147414,4235,2.96,30
police,blog,114018,114739,721,0.63,30
police,facebook,127169,129318,2149,1.69,30
police,instagram,26365,27685,1320,5.01,30
police,x,7973,8407,434,5.44,30
police,youtube,169453,182731,13278,7.84,30
pps,blog,8893,9174,281,3.16,30
pps,facebook,5111,5059,-52,-1.02,30
pps,instagram,148724,161805,13081,8.8,30
pps,youtube,147873,163078,15205,10.28,30
rda,blog,107360,115888,8528,7.94,30
rda,facebook,28605,29022,417,1.46,30
rda,instagram,60664,65775,5111,8.43,30
rda,youtube,153889,150253,-3636,-2.36,30
saemangeum,blog,107759,112120,4361,4.05,30
saemangeum,facebook,51190,53850,2660,5.2,30
saemangeum,instagram,77865,78607,742,0.95,30
saemangeum,youtube,51278,51128,-150,-0.29,30
spo,blog,92414,98502,6088,6.59,30
spo,facebook,138108,146011,7903,5.72,30
spo,instagram,11365,12059,694,6.11,30
spo,youtube,25835,28431,2596,10.05,30
unikorea,blog,173283,184071,10788,6.23,30
unikorea,facebook,121791,124892,3101,2.55,30
unikorea,instagram,136241,133888,-2353,-1.73,30
unikorea,x,80683,83536,2853,3.54,30
unikorea,youtube,179907,197758,17851,9.92,30
